2025-03-14 10:47:31 INFO  LoggingManager:42 - Logging configuration initialized. Log file path: C:\Users\kwazinkosizwane\eclipse-workspace\SourceDemo\logs\Regression_Suite_logs.log
2025-03-14 10:47:44 INFO  LoggingManager:51 - Running tests on browser: chrome
2025-03-14 10:47:44 INFO  LoggingManager:51 - Initializing chrome browser in normal mode
2025-03-14 10:47:44 INFO  LoggingManager:51 - Initializing chrome browser in normal mode
2025-03-14 10:47:44 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (fc80e58da313d0b196c89d4d648ba35e)] -> id: login-button]
2025-03-14 10:47:45 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (fc80e58da313d0b196c89d4d648ba35e)] -> id: checkout]
2025-03-14 10:47:45 INFO  LoggingManager:51 - WebDriver configured successfully
2025-03-14 10:47:45 INFO  LoggingManager:51 - WebDriver configured successfully
2025-03-14 10:47:45 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (fc80e58da313d0b196c89d4d648ba35e)] -> id: first-name]
2025-03-14 10:47:45 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (fc80e58da313d0b196c89d4d648ba35e)] -> id: last-name]
2025-03-14 10:47:46 INFO  LoggingManager:51 - Navigated to URL:https://www.saucedemo.com
2025-03-14 10:47:46 INFO  LoggingManager:51 - Navigated to URL:https://www.saucedemo.com
2025-03-14 10:47:46 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (fc80e58da313d0b196c89d4d648ba35e)] -> id: postal-code]
2025-03-14 10:47:46 INFO  LoggingManager:51 - WebDriver configured successfully
2025-03-14 10:47:46 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (fc80e58da313d0b196c89d4d648ba35e)] -> id: continue]
2025-03-14 10:47:46 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (87ff9c1e038eb5f14d77b776f24744c6)] -> id: user-name]
2025-03-14 10:47:46 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (dc8a8c654dec29735b57a5281a046022)] -> id: user-name]
2025-03-14 10:47:46 INFO  LoggingManager:51 - TC02 (expected error) in CheckoutPageTests::testCheckoutFormSubmissions PASSED!
2025-03-14 10:47:46 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (dc8a8c654dec29735b57a5281a046022)] -> id: password]
2025-03-14 10:47:47 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (87ff9c1e038eb5f14d77b776f24744c6)] -> id: password]
2025-03-14 10:47:47 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (dc8a8c654dec29735b57a5281a046022)] -> id: login-button]
2025-03-14 10:47:47 INFO  LoggingManager:51 - Navigated to URL:https://www.saucedemo.com
2025-03-14 10:47:47 INFO  LoggingManager:51 - WebDriver configured successfully
2025-03-14 10:47:47 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (87ff9c1e038eb5f14d77b776f24744c6)] -> id: login-button]
2025-03-14 10:47:47 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (a5a3d143ce71dbbb00823aa16f8d6f34)] -> id: user-name]
2025-03-14 10:47:47 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (a5a3d143ce71dbbb00823aa16f8d6f34)] -> id: password]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (dc8a8c654dec29735b57a5281a046022)] -> id: checkout]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (a5a3d143ce71dbbb00823aa16f8d6f34)] -> id: login-button]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (dc8a8c654dec29735b57a5281a046022)] -> id: first-name]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Navigated to URL:https://www.saucedemo.com
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (87ff9c1e038eb5f14d77b776f24744c6)] -> id: checkout]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (a5a3d143ce71dbbb00823aa16f8d6f34)] -> xpath: //select[@class='product_sort_container']]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (dc8a8c654dec29735b57a5281a046022)] -> id: last-name]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (87ff9c1e038eb5f14d77b776f24744c6)] -> id: first-name]
2025-03-14 10:47:48 INFO  LoggingManager:51 - WebDriver quit successfully
2025-03-14 10:47:48 INFO  LoggingManager:51 - Running tests on browser: chrome
2025-03-14 10:47:48 INFO  LoggingManager:51 - Initializing chrome browser in normal mode
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed Select sort option on element: [[ChromeDriver: chrome on windows (a5a3d143ce71dbbb00823aa16f8d6f34)] -> xpath: //select[@class='product_sort_container']]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (8c3e547e19116faf2b9aeb77cfbc3795)] -> id: user-name]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (dc8a8c654dec29735b57a5281a046022)] -> id: postal-code]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (87ff9c1e038eb5f14d77b776f24744c6)] -> id: last-name]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (8c3e547e19116faf2b9aeb77cfbc3795)] -> id: password]
2025-03-14 10:47:48 INFO  LoggingManager:51 - Successfully performed click on element: [[ChromeDriver: chrome on windows (dc8a8c654dec29735b57a5281a046022)] -> id: continue]
2025-03-14 10:47:49 INFO  LoggingManager:51 - Successfully performed send keys to on element: [[ChromeDriver: chrome on windows (87ff9c1e038eb5f14d77b776f24744c6)] -> id: postal-code]
